[2025-08-13 23:18:10] USB Inserted: Unknown USB Device | ID: Unknown ID
[2025-08-13 23:18:11] USB Inserted: Unknown USB Device | ID: Unknown ID
[2025-08-13 23:18:18] USB Removed: Unknown USB Device | ID: Unknown ID
[2025-08-13 23:18:19] USB Removed: Unknown USB Device | ID: Unknown ID
[2025-08-13 23:40:51] USB Inserted: Unknown USB Device | ID: Unknown ID
[2025-08-13 23:40:52] USB Inserted: Unknown USB Device | ID: Unknown ID
[2025-08-13 23:41:11] USB Removed: Unknown USB Device | ID: Unknown ID
[2025-08-13 23:41:12] USB Removed: Unknown USB Device | ID: Unknown ID
[2025-08-13 23:44:11] USB Inserted: USB Device | ID: USB\VID_0781&PID_5567\20053045120A6122A845
[2025-08-13 23:44:12] USB Inserted: USB Device | ID: USBSTOR\DISK&VEN_SANDISK&PROD_CRUZER_BLADE&REV_1.26\20053045120A6122A845&0
[2025-08-13 23:44:35] USB Removed: USB Device | ID: USB\VID_0781&PID_5567\20053045120A6122A845
[2025-08-13 23:44:36] USB Removed: USB Device | ID: USBSTOR\DISK&VEN_SANDISK&PROD_CRUZER_BLADE&REV_1.26\20053045120A6122A845&0
[2025-08-13 23:44:44] USB Inserted: USB Device | ID: USB\VID_054C&PID_02A5\7C2B10850FB738AE60
[2025-08-13 23:44:45] USB Inserted: USB Device | ID: USBSTOR\DISK&VEN_SONY&PROD_STORAGE_MEDIA&REV_PMAP\7C2B10850FB738AE60&0
[2025-08-13 23:44:51] USB Removed: USB Device | ID: USB\VID_054C&PID_02A5\7C2B10850FB738AE60
[2025-08-13 23:44:52] USB Removed: USB Device | ID: USBSTOR\DISK&VEN_SONY&PROD_STORAGE_MEDIA&REV_PMAP\7C2B10850FB738AE60&0
[2025-08-13 23:46:38] USB Inserted: USB Device | ID: USB\VID_054C&PID_02A5\7C2B10850FB738AE60
[2025-08-13 23:46:41] USB Inserted: Sony Storage Media USB Device | ID: USBSTOR\DISK&VEN_SONY&PROD_STORAGE_MEDIA&REV_PMAP\7C2B10850FB738AE60&0
[2025-08-13 23:47:16] USB Removed: USB Device | ID: USB\VID_054C&PID_02A5\7C2B10850FB738AE60
[2025-08-13 23:47:17] USB Removed: USB Device | ID: USBSTOR\DISK&VEN_SONY&PROD_STORAGE_MEDIA&REV_PMAP\7C2B10850FB738AE60&0
[2025-08-13 23:47:40] USB Inserted: SanDisk Cruzer Blade USB Device | ID: USB\VID_0781&PID_5567\20053045120A6122A845
[2025-08-13 23:47:41] USB Inserted: SanDisk Cruzer Blade USB Device | ID: USBSTOR\DISK&VEN_SANDISK&PROD_CRUZER_BLADE&REV_1.26\20053045120A6122A845&0
[2025-08-13 23:47:54] USB Removed: USB Device | ID: USB\VID_0781&PID_5567\20053045120A6122A845
[2025-08-13 23:47:55] USB Removed: USB Device | ID: USBSTOR\DISK&VEN_SANDISK&PROD_CRUZER_BLADE&REV_1.26\20053045120A6122A845&0
[2025-08-14 00:02:12] USB Inserted: Sony Storage Media USB Device | ID: USBSTOR\DISK&VEN_SONY&PROD_STORAGE_MEDIA&REV_PMAP\7C2B10850FB738AE60&0
[2025-08-14 00:02:28] USB Removed: USB Storage Device | ID: USBSTOR\DISK&VEN_SONY&PROD_STORAGE_MEDIA&REV_PMAP\7C2B10850FB738AE60&0
[2025-08-14 00:02:40] USB Inserted: SanDisk Cruzer Blade USB Device | ID: USBSTOR\DISK&VEN_SANDISK&PROD_CRUZER_BLADE&REV_1.26\20053045120A6122A845&0
[2025-08-14 00:02:48] USB Removed: USB Storage Device | ID: USBSTOR\DISK&VEN_SANDISK&PROD_CRUZER_BLADE&REV_1.26\20053045120A6122A845&0
[2025-08-19 21:10:42] USB Removed: USB Device | ID: USB\VID_0781&PID_5567\20053045120A6122A845
[2025-08-19 21:10:43] USB Removed: USB Device | ID: USBSTOR\DISK&VEN_SANDISK&PROD_CRUZER_BLADE&REV_1.26\20053045120A6122A845&0
[2025-08-19 21:10:48] USB Inserted: SanDisk Cruzer Blade USB Device | ID: USB\VID_0781&PID_5567\20053045120A6122A845
[2025-08-19 21:10:49] USB Inserted: SanDisk Cruzer Blade USB Device | ID: USBSTOR\DISK&VEN_SANDISK&PROD_CRUZER_BLADE&REV_1.26\20053045120A6122A845&0
[2025-08-19 21:10:58] USB Removed: USB Device | ID: USB\VID_0781&PID_5567\20053045120A6122A845
[2025-08-19 21:10:58] USB Removed: USB Device | ID: USBSTOR\DISK&VEN_SANDISK&PROD_CRUZER_BLADE&REV_1.26\20053045120A6122A845&0
[2025-08-19 21:20:37] USB Inserted: SanDisk Cruzer Blade USB Device | ID: USB\VID_0781&PID_5567\20053045120A6122A845
[2025-08-19 21:20:39] USB Inserted: SanDisk Cruzer Blade USB Device | ID: USBSTOR\DISK&VEN_SANDISK&PROD_CRUZER_BLADE&REV_1.26\20053045120A6122A845&0
[2025-08-19 21:20:44] USB Removed: USB Device | ID: USB\VID_0781&PID_5567\20053045120A6122A845
[2025-08-19 21:20:44] USB Removed: USB Device | ID: USBSTOR\DISK&VEN_SANDISK&PROD_CRUZER_BLADE&REV_1.26\20053045120A6122A845&0
[2025-08-19 21:42:57] USB Inserted: SanDisk Cruzer Blade USB Device | ID: USB\VID_0781&PID_5567\20053045120A6122A845
[2025-08-19 21:42:59] USB Inserted: SanDisk Cruzer Blade USB Device | ID: USBSTOR\DISK&VEN_SANDISK&PROD_CRUZER_BLADE&REV_1.26\20053045120A6122A845&0
[2025-08-19 21:43:17] USB Removed: USB Device | ID: USB\VID_0781&PID_5567\20053045120A6122A845
[2025-08-19 21:43:17] USB Removed: USB Device | ID: USBSTOR\DISK&VEN_SANDISK&PROD_CRUZER_BLADE&REV_1.26\20053045120A6122A845&0
[2025-08-19 21:47:20] USB Inserted: SanDisk Cruzer Blade USB Device | ID: USB\VID_0781&PID_5567\20053045120A6122A845
[2025-08-19 21:47:21] USB Inserted: SanDisk Cruzer Blade USB Device | ID: USBSTOR\DISK&VEN_SANDISK&PROD_CRUZER_BLADE&REV_1.26\20053045120A6122A845&0
[2025-08-19 21:47:40] USB Removed: USB Device | ID: USB\VID_0781&PID_5567\20053045120A6122A845
[2025-08-19 21:47:41] USB Removed: USB Device | ID: USBSTOR\DISK&VEN_SANDISK&PROD_CRUZER_BLADE&REV_1.26\20053045120A6122A845&0
[2025-08-19 23:47:18] USB Inserted: SanDisk Cruzer Blade USB Device | ID: USB\VID_0781&PID_5567\20053045120A6122A845
[2025-08-19 23:47:19] USB Inserted: SanDisk Cruzer Blade USB Device | ID: USBSTOR\DISK&VEN_SANDISK&PROD_CRUZER_BLADE&REV_1.26\20053045120A6122A845&0
